time_s,absorbance
0.0,0.4
2.0,0.4
4.0,0.4
6.0,0.4
8.0,0.4
10.0,0.4
12.0,0.4
14.0,0.4
16.0,0.4
18.0,0.4
20.0,0.401
22.0,0.4
24.0,0.401
26.0,0.4
28.0,0.4
30.0,0.401
32.0,0.4
34.0,0.4
36.0,0.401
38.0,0.4
40.0,0.4
42.0,0.4
44.0,0.399
46.0,0.4
48.0,0.4
50.0,0.4
52.0,0.4
54.0,0.399
56.0,0.399
58.0,0.399
60.0,0.398
62.0,0.399
64.0,0.398
66.0,0.398
68.0,0.399
70.0,0.398
72.0,0.398
74.0,0.398
76.0,0.398
78.0,0.397
80.0,0.397
82.0,10.0
84.0,0.119
86.0,0.119
88.0,0.119
90.0,0.119
92.0,0.119
94.0,0.119
96.0,0.119
98.0,0.119
100.0,0.119
102.0,0.119
104.0,0.119
106.0,0.119
108.0,0.119
110.0,0.119
112.0,0.119
114.0,0.119
116.0,0.119
118.0,0.119
120.0,0.119
122.0,0.119
124.0,0.119
126.0,0.119
128.0,0.119
130.0,0.119
132.0,10.0
134.0,0.335
136.0,0.33
138.0,0.326
140.0,0.322
142.0,0.318
144.0,0.314
146.0,0.31
148.0,0.306
150.0,0.303
152.0,0.3
154.0,0.297
156.0,0.294
158.0,0.292
160.0,0.289
162.0,0.287
164.0,0.284
166.0,0.283
168.0,0.281
170.0,0.279
172.0,0.277
174.0,0.276
176.0,0.274
178.0,0.273
180.0,0.272
182.0,0.271
184.0,0.27
186.0,0.269
188.0,0.267
190.0,0.267
192.0,0.265
194.0,0.264
196.0,0.263
198.0,0.262
200.0,0.261
202.0,0.26
204.0,0.259
206.0,0.258
208.0,0.257
210.0,0.257
212.0,0.256
214.0,0.255
216.0,0.255
218.0,0.254
220.0,0.254
222.0,0.253
224.0,0.253
226.0,0.252
228.0,0.252
230.0,0.252
232.0,0.251
234.0,0.251
236.0,0.251
238.0,0.25
240.0,0.25
242.0,0.25
244.0,0.25
