Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	10cells_970buffer_20imaz_hum_lsz_3.UDT
Run Date:	11:16:25, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.001995	-0.001995	0.9537	0.9096

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	100.0	144.0	2.999	144.0	0.119
2	144.0	146.0	268.0	10.000	268.0	0.284

Data Points
s	Abs
0.0	0.374
2.0	0.374
4.0	0.373
6.0	0.373
8.0	0.373
10.0	0.373
12.0	0.373
14.0	0.373
16.0	0.373
18.0	0.373
20.0	0.373
22.0	0.373
24.0	0.373
26.0	0.373
28.0	0.372
30.0	0.372
32.0	0.373
34.0	0.373
36.0	0.372
38.0	0.372
40.0	0.372
42.0	0.372
44.0	0.372
46.0	0.372
48.0	0.372
50.0	0.372
52.0	0.372
54.0	0.372
56.0	0.372
58.0	0.372
60.0	0.372
62.0	0.371
64.0	0.372
66.0	0.371
68.0	0.371
70.0	0.371
72.0	0.371
74.0	0.371
76.0	0.370
78.0	0.371
80.0	0.371
82.0	0.370
84.0	0.371
86.0	0.370
88.0	0.370
90.0	0.370
92.0	0.370
94.0	0.370
96.0	0.370
98.0	-0.724
100.0	2.999
102.0	0.124
104.0	0.120
106.0	0.120
108.0	0.120
110.0	0.120
112.0	0.120
114.0	0.120
116.0	0.120
118.0	0.120
120.0	0.120
122.0	0.120
124.0	0.120
126.0	0.120
128.0	0.119
130.0	0.120
132.0	0.119
134.0	0.119
136.0	0.119
138.0	0.119
140.0	0.119
142.0	0.119
144.0	0.119
146.0	10.000
148.0	10.000
150.0	0.370
152.0	0.367
154.0	0.364
156.0	0.361
158.0	0.358
160.0	0.355
162.0	0.353
164.0	0.350
166.0	0.348
168.0	0.345
170.0	0.343
172.0	0.341
174.0	0.338
176.0	0.336
178.0	0.335
180.0	0.332
182.0	0.330
184.0	0.328
186.0	0.326
188.0	0.325
190.0	0.323
192.0	0.322
194.0	0.320
196.0	0.318
198.0	0.316
200.0	0.316
202.0	0.314
204.0	0.312
206.0	0.311
208.0	0.309
210.0	0.308
212.0	0.307
214.0	0.306
216.0	0.305
218.0	0.303
220.0	0.302
222.0	0.301
224.0	0.300
226.0	0.299
228.0	0.298
230.0	0.297
232.0	0.297
234.0	0.296
236.0	0.295
238.0	0.294
240.0	0.294
242.0	0.292
244.0	0.291
246.0	0.291
248.0	0.290
250.0	0.289
252.0	0.289
254.0	0.288
256.0	0.288
258.0	0.287
260.0	0.287
262.0	0.286
264.0	0.285
266.0	0.284
268.0	0.284

