Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	20cells_960buffer_20imaz_hum_lsz_3.UDT
Run Date:	11:41:44, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.005355	-0.005355	0.9853	0.9708

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	84.0	122.0	10.000	122.0	-0.199
2	122.0	124.0	314.0	0.540	314.0	0.304

Data Points
s	Abs
0.0	0.568
2.0	0.568
4.0	0.568
6.0	0.567
8.0	0.567
10.0	0.567
12.0	0.567
14.0	0.567
16.0	0.567
18.0	0.566
20.0	0.566
22.0	0.565
24.0	0.565
26.0	0.565
28.0	0.565
30.0	0.565
32.0	0.565
34.0	0.565
36.0	0.564
38.0	0.565
40.0	0.564
42.0	0.564
44.0	0.564
46.0	0.564
48.0	0.564
50.0	0.563
52.0	0.563
54.0	0.563
56.0	0.563
58.0	0.563
60.0	0.563
62.0	0.563
64.0	0.562
66.0	0.562
68.0	0.562
70.0	0.562
72.0	0.561
74.0	0.561
76.0	0.561
78.0	0.561
80.0	0.561
82.0	0.556
84.0	10.000
86.0	0.119
88.0	0.119
90.0	0.119
92.0	0.119
94.0	0.119
96.0	0.119
98.0	0.119
100.0	0.119
102.0	0.119
104.0	0.119
106.0	0.119
108.0	0.119
110.0	0.119
112.0	0.119
114.0	0.119
116.0	0.119
118.0	0.118
120.0	0.119
122.0	-0.199
124.0	0.540
126.0	0.535
128.0	0.530
130.0	0.524
132.0	0.518
134.0	0.512
136.0	0.506
138.0	0.501
140.0	0.496
142.0	0.490
144.0	0.485
146.0	0.480
148.0	0.475
150.0	0.471
152.0	0.467
154.0	0.463
156.0	0.459
158.0	0.455
160.0	0.451
162.0	0.447
164.0	0.444
166.0	0.440
168.0	0.437
170.0	0.433
172.0	0.430
174.0	0.427
176.0	0.424
178.0	0.421
180.0	0.418
182.0	0.415
184.0	0.412
186.0	0.409
188.0	0.406
190.0	0.404
192.0	0.401
194.0	0.399
196.0	0.396
198.0	0.394
200.0	0.391
202.0	0.389
204.0	0.387
206.0	0.384
208.0	0.382
210.0	0.380
212.0	0.378
214.0	0.375
216.0	0.373
218.0	0.371
220.0	0.369
222.0	0.368
224.0	0.366
226.0	0.364
228.0	0.362
230.0	0.360
232.0	0.358
234.0	0.356
236.0	0.355
238.0	0.353
240.0	0.351
242.0	0.350
244.0	0.348
246.0	0.347
248.0	0.345
250.0	0.343
252.0	0.342
254.0	0.340
256.0	0.339
258.0	0.337
260.0	0.336
262.0	0.334
264.0	0.333
266.0	0.332
268.0	0.330
270.0	0.329
272.0	0.328
274.0	0.326
276.0	0.325
278.0	0.324
280.0	0.322
282.0	0.321
284.0	0.320
286.0	0.319
288.0	0.317
290.0	0.317
292.0	0.316
294.0	0.314
296.0	0.313
298.0	0.312
300.0	0.311
302.0	0.310
304.0	0.309
306.0	0.308
308.0	0.307
310.0	0.305
312.0	0.305
314.0	0.304

