Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	40cells_940buffer_20imaz_hum_lsz_1.UDT
Run Date:	12:17:10, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.001784	-0.001784	0.2003	0.04012

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	94.0	114.0	10.000	114.0	0.118
2	114.0	132.0	252.0	10.000	252.0	0.485

Data Points
s	Abs
0.0	0.822
2.0	0.838
4.0	0.837
6.0	0.838
8.0	0.837
10.0	0.837
12.0	0.837
14.0	0.837
16.0	0.836
18.0	0.836
20.0	0.836
22.0	0.836
24.0	0.836
26.0	0.836
28.0	0.836
30.0	0.836
32.0	0.835
34.0	0.835
36.0	0.835
38.0	0.835
40.0	0.835
42.0	0.834
44.0	0.835
46.0	0.834
48.0	0.834
50.0	0.834
52.0	0.834
54.0	0.834
56.0	0.833
58.0	0.834
60.0	0.833
62.0	0.833
64.0	0.833
66.0	0.833
68.0	0.833
70.0	0.833
72.0	0.833
74.0	0.832
76.0	0.832
78.0	0.833
80.0	0.832
82.0	0.832
84.0	0.832
86.0	0.832
88.0	0.832
90.0	0.831
92.0	-0.271
94.0	10.000
96.0	0.118
98.0	0.118
100.0	0.118
102.0	0.118
104.0	0.118
106.0	0.118
108.0	0.118
110.0	0.118
112.0	0.118
114.0	0.118
116.0	0.118
118.0	0.118
120.0	0.118
122.0	0.118
124.0	0.118
126.0	0.118
128.0	0.118
130.0	-0.756
132.0	10.000
134.0	0.768
136.0	0.762
138.0	0.756
140.0	0.749
142.0	0.743
144.0	0.737
146.0	0.730
148.0	0.724
150.0	0.717
152.0	0.711
154.0	0.704
156.0	0.698
158.0	0.692
160.0	0.685
162.0	0.680
164.0	0.674
166.0	0.668
168.0	0.662
170.0	0.656
172.0	0.651
174.0	0.645
176.0	0.640
178.0	0.634
180.0	0.630
182.0	0.625
184.0	0.619
186.0	0.615
188.0	0.610
190.0	0.605
192.0	0.600
194.0	0.595
196.0	0.591
198.0	0.587
200.0	0.582
202.0	0.578
204.0	0.574
206.0	0.569
208.0	0.565
210.0	0.561
212.0	0.557
214.0	0.553
216.0	0.549
218.0	0.545
220.0	0.541
222.0	0.538
224.0	0.534
226.0	0.530
228.0	0.527
230.0	0.523
232.0	0.519
234.0	0.516
236.0	0.512
238.0	0.508
240.0	0.505
242.0	0.502
244.0	0.499
246.0	0.495
248.0	0.492
250.0	0.488
252.0	0.485

