Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	10cells_970buffer_20imaz_hum_lsz_1.UDT
Run Date:	10:59:53, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.002707	-0.002707	0.8737	0.7633

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	88.0	132.0	10.000	132.0	0.120
2	132.0	136.0	254.0	10.000	254.0	0.280

Data Points
s	Abs
0.0	0.336
2.0	0.334
4.0	0.334
6.0	0.334
8.0	0.334
10.0	0.333
12.0	0.333
14.0	0.333
16.0	0.333
18.0	0.333
20.0	0.333
22.0	0.333
24.0	0.333
26.0	0.333
28.0	0.333
30.0	0.333
32.0	0.332
34.0	0.333
36.0	0.332
38.0	0.332
40.0	0.332
42.0	0.332
44.0	0.332
46.0	0.332
48.0	0.332
50.0	0.332
52.0	0.332
54.0	0.332
56.0	0.332
58.0	0.332
60.0	0.332
62.0	0.332
64.0	0.331
66.0	0.331
68.0	0.331
70.0	0.331
72.0	0.331
74.0	0.331
76.0	0.331
78.0	0.331
80.0	0.331
82.0	0.331
84.0	0.331
86.0	0.333
88.0	10.000
90.0	0.121
92.0	0.121
94.0	0.121
96.0	0.121
98.0	0.121
100.0	0.121
102.0	0.121
104.0	0.121
106.0	0.121
108.0	0.121
110.0	0.121
112.0	0.121
114.0	0.121
116.0	0.121
118.0	0.121
120.0	0.121
122.0	0.121
124.0	0.121
126.0	0.121
128.0	0.121
130.0	0.121
132.0	0.120
134.0	0.120
136.0	10.000
138.0	0.368
140.0	0.365
142.0	0.362
144.0	0.358
146.0	0.355
148.0	0.352
150.0	0.349
152.0	0.347
154.0	0.344
156.0	0.342
158.0	0.340
160.0	0.337
162.0	0.335
164.0	0.333
166.0	0.331
168.0	0.329
170.0	0.327
172.0	0.325
174.0	0.323
176.0	0.322
178.0	0.319
180.0	0.318
182.0	0.316
184.0	0.314
186.0	0.313
188.0	0.312
190.0	0.310
192.0	0.308
194.0	0.307
196.0	0.306
198.0	0.304
200.0	0.303
202.0	0.302
204.0	0.301
206.0	0.300
208.0	0.298
210.0	0.297
212.0	0.296
214.0	0.295
216.0	0.294
218.0	0.293
220.0	0.292
222.0	0.291
224.0	0.291
226.0	0.290
228.0	0.289
230.0	0.288
232.0	0.287
234.0	0.287
236.0	0.286
238.0	0.285
240.0	0.284
242.0	0.283
244.0	0.283
246.0	0.283
248.0	0.281
250.0	0.281
252.0	0.281
254.0	0.280

