Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	40cells_940buffer_20imaz_lsz_1.UDT
Run Date:	13:15:35, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.008609	-0.008609	0.9823	0.965

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	140.0	142.0	252.0	10.000	252.0	0.349

Data Points
s	Abs
0.0	0.823
2.0	0.823
4.0	0.822
6.0	0.821
8.0	0.822
10.0	0.821
12.0	0.821
14.0	0.820
16.0	0.820
18.0	0.820
20.0	0.819
22.0	0.819
24.0	0.818
26.0	0.818
28.0	0.818
30.0	0.818
32.0	0.817
34.0	0.817
36.0	0.817
38.0	0.816
40.0	0.817
42.0	0.816
44.0	0.816
46.0	0.816
48.0	0.816
50.0	0.816
52.0	0.815
54.0	0.814
56.0	0.815
58.0	0.815
60.0	0.814
62.0	0.814
64.0	0.813
66.0	0.813
68.0	0.812
70.0	0.813
72.0	0.812
74.0	0.812
76.0	0.812
78.0	0.812
80.0	0.811
82.0	0.811
84.0	0.812
86.0	0.811
88.0	0.811
90.0	0.811
92.0	0.810
94.0	0.810
96.0	0.810
98.0	0.810
100.0	0.810
102.0	-0.943
104.0	0.117
106.0	0.117
108.0	0.117
110.0	0.117
112.0	0.117
114.0	0.117
116.0	0.117
118.0	0.117
120.0	0.117
122.0	0.117
124.0	0.117
126.0	0.117
128.0	0.117
130.0	0.117
132.0	0.117
134.0	0.117
136.0	0.117
138.0	0.117
140.0	0.117
142.0	10.000
144.0	0.654
146.0	0.639
148.0	0.626
150.0	0.613
152.0	0.601
154.0	0.590
156.0	0.579
158.0	0.569
160.0	0.559
162.0	0.550
164.0	0.542
166.0	0.533
168.0	0.526
170.0	0.518
172.0	0.511
174.0	0.504
176.0	0.497
178.0	0.491
180.0	0.485
182.0	0.479
184.0	0.474
186.0	0.468
188.0	0.463
190.0	0.458
192.0	0.453
194.0	0.448
196.0	0.444
198.0	0.439
200.0	0.435
202.0	0.431
204.0	0.426
206.0	0.422
208.0	0.418
210.0	0.414
212.0	0.410
214.0	0.407
216.0	0.403
218.0	0.400
220.0	0.396
222.0	0.392
224.0	0.389
226.0	0.386
228.0	0.382
230.0	0.380
232.0	0.376
234.0	0.373
236.0	0.371
238.0	0.368
240.0	0.365
242.0	0.362
244.0	0.360
246.0	0.357
248.0	0.354
250.0	0.352
252.0	0.349

